epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,15068.1,1.1967,2.41005,0.94566,1.21193,0.75436,0.75249,0.80875,0.54312,0.78815,0.73068,0.7956,0.49658,0.99222,1.95774,0.93571,1.16594,0.0013268,0.0013268,0.0013268
104,15174.4,1.23197,2.36348,0.92342,1.22207,0.75904,0.77885,0.83578,0.55948,0.78834,0.71744,0.78757,0.48617,1.00204,2.34285,0.91524,1.16986,0.0013202,0.0013202,0.0013202
105,15281.4,1.24212,2.41445,0.96363,1.23927,0.84602,0.71561,0.848,0.57403,0.83625,0.71302,0.82688,0.51289,1.0005,2.08824,0.89982,1.17178,0.0013136,0.0013136,0.0013136
106,15387.7,1.20585,2.42832,0.96126,1.2352,0.77941,0.73068,0.81106,0.55287,0.79415,0.75055,0.82575,0.51106,0.9626,1.94045,0.9187,1.17429,0.001307,0.001307,0.001307
107,15494.1,1.23886,2.40898,0.95718,1.23962,0.76365,0.78146,0.84489,0.56703,0.76866,0.78808,0.83637,0.51384,0.96657,1.9432,0.9101,1.18374,0.0013004,0.0013004,0.0013004
108,15599.5,1.20807,2.34477,0.94501,1.20895,0.81986,0.76821,0.83482,0.56499,0.81886,0.7684,0.81927,0.49254,0.96096,2.23191,0.94183,1.16898,0.0012938,0.0012938,0.0012938
109,15705.6,1.22513,2.41447,0.99848,1.24874,0.80334,0.72141,0.81019,0.52263,0.78931,0.73289,0.79395,0.47564,1.02225,2.23625,0.98924,1.18756,0.0012872,0.0012872,0.0012872
110,15811,1.25143,2.52861,1.02242,1.26867,0.78418,0.74593,0.82527,0.54666,0.79825,0.74241,0.81356,0.4886,0.99017,2.1713,1.02961,1.20104,0.0012806,0.0012806,0.0012806
111,15913.6,1.20229,2.37582,0.9994,1.20351,0.80163,0.7638,0.84745,0.56962,0.81724,0.77704,0.8318,0.51747,0.96559,2.03946,0.95324,1.17224,0.001274,0.001274,0.001274
112,16020.2,1.2372,2.47193,0.96281,1.21998,0.80045,0.74172,0.81323,0.54839,0.79131,0.7366,0.77864,0.47482,0.93328,2.00629,0.92192,1.15664,0.0012674,0.0012674,0.0012674
113,16124.2,1.1863,2.31963,0.95872,1.21052,0.78595,0.72949,0.78066,0.51688,0.77767,0.71811,0.75819,0.46424,0.98024,1.91681,0.96759,1.17398,0.0012608,0.0012608,0.0012608
114,16228.3,1.21275,2.45099,0.97622,1.23637,0.79899,0.74614,0.81357,0.53478,0.77927,0.72848,0.76568,0.45426,1.00635,2.19186,0.93417,1.2114,0.0012542,0.0012542,0.0012542
115,16333,1.20616,2.4057,0.95667,1.2101,0.80434,0.77925,0.83878,0.57035,0.79974,0.77704,0.82253,0.50866,0.95114,2.0464,0.877,1.1975,0.0012476,0.0012476,0.0012476
116,16439.1,1.20911,2.35427,0.92914,1.20183,0.81975,0.77301,0.8506,0.58675,0.82186,0.76821,0.84708,0.53637,0.92241,1.93291,0.86006,1.16035,0.001241,0.001241,0.001241
117,16542.3,1.1794,2.34522,0.91996,1.21801,0.80259,0.77182,0.83883,0.57721,0.80933,0.77773,0.84932,0.52919,0.96594,2.07218,0.87091,1.1986,0.0012344,0.0012344,0.0012344
118,16646.5,1.24258,2.39682,0.98504,1.27168,0.81701,0.75893,0.84423,0.55584,0.82243,0.76821,0.83739,0.53001,0.99106,2.04939,0.85488,1.15818,0.0012278,0.0012278,0.0012278
119,16752,1.22096,2.39145,0.96586,1.24116,0.80922,0.79587,0.85071,0.59509,0.8158,0.78212,0.84179,0.52671,0.88218,1.85707,0.8397,1.12008,0.0012212,0.0012212,0.0012212
