epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
124,619.466,0.27698,0.36975,0.10659,0.82756,0.75219,0.8364,0.61454,0.29717,0.49405,0.23661,0.00151292,0.00151292,0.00151292
125,624.204,0.27584,0.34293,0.08469,0.83703,0.75962,0.8479,0.6339,0.27814,0.45058,0.2013,0.00150896,0.00150896,0.00150896
126,628.953,0.25229,0.34012,0.09683,0.79505,0.83065,0.85551,0.63712,0.27579,0.4204,0.19545,0.001505,0.001505,0.001505
127,633.726,0.2406,0.34002,0.09961,0.81387,0.80574,0.85727,0.64374,0.28678,0.39342,0.20137,0.00150104,0.00150104,0.00150104
128,639.245,0.25923,0.3592,0.09988,0.79912,0.82547,0.85257,0.63271,0.29077,0.41122,0.21509,0.00149708,0.00149708,0.00149708
129,643.968,0.27537,0.36814,0.112,0.79629,0.8025,0.84294,0.63278,0.28439,0.42721,0.19634,0.00149312,0.00149312,0.00149312
130,648.75,0.2774,0.35632,0.11062,0.80494,0.78342,0.83874,0.62162,0.27829,nan,0.19227,0.00148916,0.00148916,0.00148916
131,653.551,0.26724,0.34266,0.10888,0.85928,0.7638,0.84627,0.63535,0.27604,nan,0.1965,0.0014852,0.0014852,0.0014852
132,658.491,0.26212,0.38025,0.11279,0.81795,0.84768,0.86711,0.6411,0.26297,0.39806,0.17702,0.00148124,0.00148124,0.00148124
133,663.207,0.25789,0.40394,0.11572,0.81252,0.82279,0.8584,0.62904,0.26487,0.42794,0.17186,0.00147728,0.00147728,0.00147728
134,667.985,0.2938,0.39223,0.10294,0.83792,0.7947,0.86008,0.62642,0.25565,0.4169,0.1685,0.00147332,0.00147332,0.00147332
135,672.945,0.27666,0.38688,0.09493,0.85899,0.79343,0.86445,0.64112,0.27235,0.39701,0.18352,0.00146936,0.00146936,0.00146936
136,677.719,0.27627,0.35718,0.09565,0.83148,0.82119,0.87088,0.64266,0.26456,0.4033,0.18019,0.0014654,0.0014654,0.0014654
137,682.473,0.25548,0.33999,0.09895,0.83798,0.7992,0.85848,0.62586,0.2749,0.40166,0.19121,0.00146144,0.00146144,0.00146144
138,687.254,0.26548,0.38254,0.12022,0.79868,0.74438,0.81699,0.61399,0.27642,0.41957,0.18984,0.00145748,0.00145748,0.00145748
139,692.227,0.25486,0.35368,0.08525,0.83646,0.73731,0.8286,0.61089,0.27989,0.43132,0.19079,0.00145352,0.00145352,0.00145352
140,697.051,0.26143,0.3666,0.10506,0.86215,0.72406,0.81636,0.60949,0.28498,0.45102,0.19661,0.00144956,0.00144956,0.00144956
141,701.8,0.25495,0.33359,0.09016,0.80565,0.7064,0.7963,0.59468,0.30178,0.47741,0.19922,0.0014456,0.0014456,0.0014456
142,707.108,0.27345,0.37384,0.099,0.78603,0.79691,0.83622,0.62486,0.29951,0.42613,0.22125,0.00144164,0.00144164,0.00144164
143,711.895,0.2494,0.33308,0.0881,0.84002,0.77661,0.83849,0.62915,0.27785,0.45634,0.18786,0.00143768,0.00143768,0.00143768
