epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
116,718.546,0.33982,0.3914,0.10235,0.85363,0.74671,0.84211,0.60755,0.3265,0.44768,0.23262,0.0015446,0.0015446,0.0015446
117,724.569,0.33206,0.38374,0.10165,0.84105,0.77042,0.83323,0.59254,0.32699,0.41593,0.21685,0.00154064,0.00154064,0.00154064
118,730.769,0.3465,0.40393,0.10738,0.80575,0.81678,0.84762,0.61805,0.27561,0.39913,0.19049,0.00153668,0.00153668,0.00153668
119,736.791,0.31116,0.38331,0.09274,0.85175,0.76821,0.85159,0.62672,0.28187,0.45726,0.18666,0.00153272,0.00153272,0.00153272
120,742.784,0.31774,0.38839,0.09521,0.77992,0.79912,0.83485,0.60782,0.28444,0.44539,0.18135,0.00152876,0.00152876,0.00152876
121,748.722,0.33122,0.4067,0.09429,0.82507,0.78587,0.84766,0.61249,0.30991,0.4423,0.21079,0.0015248,0.0015248,0.0015248
122,755.207,0.3179,0.40335,0.11263,0.82044,0.77925,0.82978,0.61946,nan,nan,nan,0.00152084,0.00152084,0.00152084
123,761.215,0.31371,0.38873,0.09481,0.78087,0.76304,0.81691,0.60875,nan,nan,nan,0.00151688,0.00151688,0.00151688
124,767.21,0.31133,0.38532,0.10297,0.80535,0.77635,0.83497,0.63162,nan,nan,nan,0.00151292,0.00151292,0.00151292
125,773.395,0.33062,0.38359,0.10059,0.8009,0.83002,0.86475,0.6432,0.28041,0.43267,0.18233,0.00150896,0.00150896,0.00150896
126,779.388,0.32136,0.38441,0.10172,0.84903,0.76972,0.84792,0.63217,0.30443,nan,0.21154,0.001505,0.001505,0.001505
127,785.382,0.31373,0.38853,0.1015,0.86369,0.73951,0.82559,0.6183,nan,nan,nan,0.00150104,0.00150104,0.00150104
128,791.627,0.29747,0.37914,0.09474,0.81725,0.78975,0.85674,0.62948,0.30995,0.46532,0.18791,0.00149708,0.00149708,0.00149708
129,797.576,0.32298,0.394,0.10316,0.81751,0.76147,0.83359,0.62529,0.30449,0.43236,0.19522,0.00149312,0.00149312,0.00149312
130,803.618,0.31529,0.37368,0.09468,0.82533,0.77483,0.82993,0.62235,0.29927,0.46125,0.19898,0.00148916,0.00148916,0.00148916
131,809.633,0.31168,0.38611,0.10774,0.84899,0.73951,0.83197,0.62454,0.31518,0.44125,0.23942,0.0014852,0.0014852,0.0014852
132,815.865,0.33957,0.38331,0.09825,0.85466,0.7659,0.83406,0.62053,0.3236,0.42271,0.2519,0.00148124,0.00148124,0.00148124
133,821.838,0.31004,0.38202,0.09545,0.82044,0.81457,0.84773,0.63639,0.29169,0.4149,0.21145,0.00147728,0.00147728,0.00147728
134,827.86,0.31994,0.37724,0.09333,0.81594,0.78146,0.84673,0.62807,0.3055,0.42794,0.22724,0.00147332,0.00147332,0.00147332
135,834.012,0.32555,0.37287,0.10774,0.78134,0.80132,0.84508,0.63286,0.30954,0.43883,0.21957,0.00146936,0.00146936,0.00146936
136,840.055,0.28257,0.36186,0.09397,0.81821,0.81678,0.86129,0.64811,0.28853,0.42187,0.20598,0.0014654,0.0014654,0.0014654
137,846.544,0.30471,0.37495,0.09704,0.80352,0.82153,0.86071,0.63466,0.29188,0.41708,0.20678,0.00146144,0.00146144,0.00146144
138,852.569,0.32614,0.38123,0.09164,0.83154,0.79029,0.85451,0.64159,0.29611,0.41113,0.19117,0.00145748,0.00145748,0.00145748
139,858.788,0.34357,0.39576,0.10321,0.82986,0.78146,0.8521,0.62981,0.29744,0.46405,0.20312,0.00145352,0.00145352,0.00145352
140,864.801,0.32738,0.39363,0.09901,0.81549,0.78146,0.85272,0.63504,0.28856,0.42624,0.21324,0.00144956,0.00144956,0.00144956
141,870.751,0.31116,0.36822,0.09213,0.8171,0.81236,0.85563,0.65005,0.29177,0.43826,0.21329,0.0014456,0.0014456,0.0014456
142,877.751,0.3067,0.37384,0.08813,0.84659,0.79181,0.85706,0.63218,0.31156,0.42926,0.22731,0.00144164,0.00144164,0.00144164
143,883.748,0.3231,0.3792,0.09413,0.82676,0.81015,0.86367,0.62718,0.31373,0.40278,0.22828,0.00143768,0.00143768,0.00143768
144,889.777,0.30339,0.37823,0.09387,0.84891,0.76159,0.83997,0.63444,0.28034,0.43382,0.19838,0.00143372,0.00143372,0.00143372
145,895.792,0.293,0.37117,0.08112,0.85047,0.80132,0.8703,0.65949,0.28154,0.4133,0.20452,0.00142976,0.00142976,0.00142976
146,902.523,0.2749,0.35287,0.09022,0.836,0.80574,0.86291,0.6546,0.26942,0.44906,0.19463,0.0014258,0.0014258,0.0014258
147,908.513,0.29486,0.34399,0.09155,0.78113,0.78587,0.83095,0.62823,0.31136,0.44977,0.2344,0.00142184,0.00142184,0.00142184
148,914.575,0.27745,0.35839,0.08685,0.81397,0.82103,0.85644,0.64039,0.28703,0.44039,0.19612,0.00141788,0.00141788,0.00141788
149,920.605,0.29029,0.36246,0.08807,0.84427,0.80183,0.86551,0.65064,0.27176,0.46321,0.18791,0.00141392,0.00141392,0.00141392
150,926.821,0.30597,0.37981,0.09014,0.8323,0.7669,0.82954,0.61065,0.28819,0.48885,0.20555,0.00140996,0.00140996,0.00140996
151,932.812,0.29101,0.37906,0.10301,0.86282,0.71523,0.81932,0.61491,0.29825,0.45969,0.21949,0.001406,0.001406,0.001406
152,938.796,0.27958,0.35335,0.09638,0.84318,0.73289,0.8269,0.61501,0.3076,0.48702,0.20342,0.00140204,0.00140204,0.00140204
153,944.774,0.30116,0.3633,0.10361,0.8478,0.77483,0.85102,0.62294,0.2914,0.44153,0.20049,0.00139808,0.00139808,0.00139808
154,951.008,0.30602,0.36828,0.0899,0.83366,0.79249,0.85256,0.61939,0.2994,0.45948,0.20774,0.00139412,0.00139412,0.00139412
155,957.026,0.30959,0.36415,0.09336,0.84542,0.75497,0.82884,0.59906,0.32781,0.51375,0.23026,0.00139016,0.00139016,0.00139016
156,963.048,0.29163,0.35944,0.09294,0.83618,0.77925,0.84833,0.6194,0.29976,0.41738,0.22021,0.0013862,0.0013862,0.0013862
157,969.042,0.3003,0.38325,0.09366,0.83393,0.78703,0.84358,0.63487,0.289,0.43968,0.19717,0.00138224,0.00138224,0.00138224
158,975.293,0.31883,0.37491,0.08635,0.80778,0.76821,0.83731,0.62743,0.28118,0.48302,0.19255,0.00137828,0.00137828,0.00137828
159,981.318,0.30402,0.3575,0.09047,0.7942,0.81781,0.8518,0.64645,0.2571,0.45176,0.1758,0.00137432,0.00137432,0.00137432
160,987.367,0.28115,0.35775,0.08916,0.84849,0.7638,0.84366,0.63422,0.26523,0.47238,0.17575,0.00137036,0.00137036,0.00137036
161,993.331,0.28457,0.34746,0.08201,0.83545,0.78453,0.8533,0.63012,0.28355,0.45301,0.18671,0.0013664,0.0013664,0.0013664
162,999.863,0.29571,0.35132,0.08668,0.79006,0.80353,0.84027,0.63087,0.30453,0.41931,0.21311,0.00136244,0.00136244,0.00136244
163,1005.89,0.29225,0.35397,0.08505,0.79348,0.80576,0.84416,0.646,0.29614,0.45703,0.19777,0.00135848,0.00135848,0.00135848
164,1011.9,0.27085,0.34323,0.08089,0.85047,0.77925,0.85669,0.64941,0.28125,0.43515,0.20267,0.00135452,0.00135452,0.00135452
165,1018.06,0.26175,0.3379,0.08554,0.83772,0.76821,0.85579,0.6285,0.28552,0.43736,0.21195,0.00135056,0.00135056,0.00135056
166,1024.05,0.28848,0.36297,0.09547,0.79301,0.75276,0.8141,0.61101,0.30003,0.45566,0.22216,0.0013466,0.0013466,0.0013466
167,1030.06,0.27174,0.35513,0.0891,0.82987,0.77529,0.85013,0.62258,0.29697,0.44693,0.20903,0.00134264,0.00134264,0.00134264
168,1036.12,0.30077,0.35271,0.08343,0.81074,0.81015,0.84965,0.63289,0.28225,0.45561,0.19686,0.00133868,0.00133868,0.00133868
169,1042.29,0.30258,0.3576,0.09396,0.80248,0.83002,0.86447,0.65375,0.2795,0.43403,0.18215,0.00133472,0.00133472,0.00133472
170,1048.28,0.28488,0.36196,0.08446,0.84107,0.79439,0.87032,0.65136,0.28101,0.40924,0.19203,0.00133076,0.00133076,0.00133076
171,1054.26,0.29705,0.35581,0.08766,0.87997,0.77681,0.87149,0.64721,0.28089,0.46486,0.18688,0.0013268,0.0013268,0.0013268
172,1060.28,0.26997,0.34302,0.08312,0.80391,0.84327,0.87892,0.6602,0.27337,0.44541,0.19594,0.00132284,0.00132284,0.00132284
173,1067,0.30003,0.35333,0.08482,0.81342,0.84768,0.87564,0.65116,0.27934,0.48744,0.20917,0.00131888,0.00131888,0.00131888
