epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,9024.07,1.19664,2.17896,0.99998,1.23617,0.75823,0.77483,0.82557,0.54233,0.7978,0.75778,0.82772,0.50322,1.02739,2.0211,1.01199,1.17796,0.0014456,0.0014456,0.0014456
86,9131.97,1.25118,2.24943,0.97039,1.21912,0.78121,0.7351,0.80262,0.52522,0.79861,0.72406,0.7895,0.4776,1.03628,2.15335,1.025,1.2199,0.001439,0.001439,0.001439
87,9242.09,1.27515,2.34909,1.03395,1.26339,0.85477,0.70199,0.82127,0.54829,0.85402,0.71965,0.82613,0.48076,0.98644,2.2301,0.94518,1.17928,0.0014324,0.0014324,0.0014324
88,9347.29,1.21152,2.20962,0.97841,1.2232,0.81536,0.6824,0.81981,0.53912,0.83904,0.69095,0.80795,0.48606,1.02833,2.18026,0.96241,1.20457,0.0014258,0.0014258,0.0014258
89,9450,1.18262,2.21012,0.95874,1.20109,0.80167,0.74953,0.82436,0.54828,0.78812,0.739,0.80886,0.49411,1.03981,1.94757,0.93461,1.20242,0.0014192,0.0014192,0.0014192
90,9556.6,1.24265,2.27747,0.96193,1.22764,0.82547,0.76215,0.84469,0.56334,0.84306,0.77081,0.8479,0.51594,0.9835,2.03543,0.91716,1.16353,0.0014126,0.0014126,0.0014126
91,9662.94,1.19119,2.20375,0.96793,1.19716,0.81906,0.73944,0.83223,0.55801,0.77356,0.78366,0.82432,0.50271,0.98696,2.01495,1.0011,1.16872,0.001406,0.001406,0.001406
92,9772.14,1.13801,2.13551,0.91048,1.18816,0.82037,0.75497,0.84134,0.56651,0.84187,0.72865,0.82662,0.5148,1.03739,2.07346,0.96696,1.17508,0.0013994,0.0013994,0.0013994
93,9879.63,1.20672,2.18529,0.94646,1.21092,0.80674,0.72798,0.82639,0.54611,0.82174,0.73951,0.83042,0.50173,1.03031,2.15706,0.94989,1.18001,0.0013928,0.0013928,0.0013928
94,9985.29,1.19651,2.20959,0.95545,1.20728,0.78732,0.72732,0.81923,0.54607,0.79672,0.72406,0.82096,0.4929,1.00176,2.13722,0.92859,1.15703,0.0013862,0.0013862,0.0013862
95,10092.3,1.12376,2.07373,0.92177,1.16248,0.78906,0.71302,0.79964,0.5287,0.80615,0.68653,0.77325,0.46956,0.96828,2.25653,0.92211,1.14407,0.0013796,0.0013796,0.0013796
96,10197.6,1.21056,2.20957,0.96894,1.20831,0.77038,0.74393,0.82629,0.5473,0.79088,0.70861,0.81365,0.49008,1.0345,2.03478,0.94931,1.17224,0.001373,0.001373,0.001373
97,10303.8,1.17544,2.16618,0.93717,1.19408,0.82348,0.73118,0.82879,0.54662,0.8134,0.72172,0.81391,0.51294,0.98412,1.94639,0.95114,1.15873,0.0013664,0.0013664,0.0013664
98,10408.1,1.2248,2.2565,0.96423,1.21316,0.79587,0.74172,0.81791,0.55303,0.81482,0.74834,0.8239,0.50991,0.98,2.04106,0.97503,1.17174,0.0013598,0.0013598,0.0013598
99,10515.2,1.18489,2.19979,0.93198,1.18792,0.82513,0.73951,0.84823,0.57169,0.87157,0.74172,0.85471,0.54192,1.05141,1.91563,0.90305,1.22559,0.0013532,0.0013532,0.0013532
100,10621.7,1.24336,2.27626,0.99598,1.24003,0.77622,0.77338,0.83507,0.57689,0.84742,0.72185,0.82928,0.52325,0.95666,1.88613,0.89123,1.18213,0.0013466,0.0013466,0.0013466
101,10728.5,1.20766,2.17659,0.91797,1.20304,0.84265,0.73296,0.84265,0.57817,0.85626,0.74393,0.84468,0.54693,0.93117,1.92696,0.89747,1.18988,0.00134,0.00134,0.00134
102,10834.8,1.19475,2.15914,0.93834,1.20801,0.76814,0.77704,0.82301,0.55007,0.77875,0.75938,0.82125,0.49734,0.99502,2.23824,0.98249,1.17278,0.0013334,0.0013334,0.0013334
103,10939.3,1.14159,2.07386,0.90017,1.16956,0.82736,0.72995,0.82653,0.56351,0.80287,0.73723,0.828,0.53012,0.96903,1.96563,0.86934,1.15574,0.0013268,0.0013268,0.0013268
